impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-103806,A542208,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1781418,In Public Home,,Cat,,,Domestic Longhair,White / Unknown,10/10/2017 12:00:00 AM,Date Found,96TH AVE NE AND NE 28TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1781418,Image Copyright HLP Inc. 2017,"96TH AVE NE AND NE 28TH ST
",
K17-103558,A541114,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1778704,LOST,Neko,Cat,,Male,Domestic Shorthair,Unknown,09/29/2017 12:00:00 AM,Date Lost,WALLINGFORD AVE N NEAR 150TH ST,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1778704,Image Copyright HLP Inc. 2017,"WALLINGFORD AVE N NEAR 150TH ST
",
K17-104020,A543155,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783927,LOST,Trixie,Dog,,Female,Jack Russell Terrier,Unknown,10/18/2017 12:00:00 AM,Date Lost,THOMAS RD,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783927,Image Copyright HLP Inc. 2017,"THOMAS RD
",
K17-103994,A543033,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783390,In Public Home,,Dog,,Female,Yorkshire Terrier,Brown / Black,10/18/2017 12:00:00 AM,Date Found,10000 MEYDENBAUER WAY SE,APT,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783390,Image Copyright HLP Inc. 2017,"10000 MEYDENBAUER WAY SE
APT
",
K17-104418,A544774,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1788841,LOST,Kitty,Cat,,Female,Manx,Unknown,10/31/2017 12:00:00 AM,Date Lost,76TH AVE SE,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1788841,Image Copyright HLP Inc. 2017,"76TH AVE SE
",
K17-096407,A519032,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664704,LOST,,Dog,,Male,Beagle,Unknown,01/21/2017 12:00:00 AM,Date Lost,11000 ROSEBERG AVE S,BURIEN,WA,98168,BURIEN,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664704,Image Copyright HLP Inc. 2017,"11000 ROSEBERG AVE S
BURIEN, WA 98168
",
K17-103309,A539944,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1775733,LOST,Captain,Dog,,Male,Siberian Husky,Unknown,09/26/2017 12:00:00 AM,Date Lost,AVIGNON TOWNHOMES. NE 99TH WAY,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1775733,Image Copyright HLP Inc. 2017,"AVIGNON TOWNHOMES. NE 99TH WAY
",
K17-103962,A542906,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1783211,LOST,Gizmo,Cat,,Male,Domestic Shorthair,Unknown,10/14/2017 12:00:00 AM,Date Lost,6700 24TH ST NE,TACOMA,WA,98422,PIERCE COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1783211,Image Copyright HLP Inc. 2017,"6700 24TH ST NE
TACOMA, WA 98422
",
K17-104362,A544414,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1788143,LOST,,Cat,,Male,Domestic Mediumhair,Unknown,10/28/2017 12:00:00 AM,Date Lost,,,,14152,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1788143,Image Copyright HLP Inc. 2017,"14152
",
K17-103732,A541862,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1780333,LOST,Rosie,Dog,,Female,Beagle,Unknown,10/09/2017 12:00:00 AM,Date Lost,GRANDVIEW DOG PARK,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1780333,Image Copyright HLP Inc. 2017,"GRANDVIEW DOG PARK
",
