Animal ID,stray,normal_intake,age_in_months_intake,adopted,age_in_months_outcome,sex,fixed_intake,fixed_changed,retriever,shepherd,beagle,terrier,boxer,poodle,rottweiler,dachshund,chihuahua,pit bull,length_of_stay,cattle dog,collie,catahoula,schnauzer,husky,pyrenees,shih tzu,pointer,bulldog,kelpie,black mouth cur,hound,heeler,pinscher,maltese,chow,pug,lhasa apso,pomeranian,corgi,spaniel,blue lacy,black,white,brown,tan,tricolor,brindle,blue,red,chocolate,sable,outcome_day,outcome_month,outcome_year,intake_day,intake_month,intake_year
A683644,0,0,0.93,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,11,-34,13,7,-34
A742953,1,1,24,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,-31,31,1,-31
A692161,0,1,5,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21,11,-34,15,11,-34
A720597,1,0,24,0,24,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,2,-32,12,2,-32
A715806,1,1,24,1,24,0,0,1,1,0,0,0,1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,12,-33,10,11,-33
A673275,1,1,36,0,36,1,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19,3,-34,21,2,-34
A737776,1,1,10,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,11,-32,4,11,-32
A678576,1,1,24,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17,5,-34,10,5,-34
A689363,0,1,48,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,10,-34,2,10,-34
A667225,1,0,108,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,-35,14,11,-35
